id,team1_id,team2_id,season,team1_seed,team2_seed,team1_position,team2_position,strongseed,weakseed,team1_region,team2_region,slot,host,host_lat,host_long,team1_name,team2_name,team1_coach_id,team1_coach_name,team1_pt_school_ncaa,team1_pt_overall_ncaa,team1_pt_school_s16,team1_pt_overall_s16,team1_pt_school_ff,team1_pt_overall_ff,team1_pt_career_school_wins,team1_pt_career_school_losses,team1_pt_career_overall_losses,team1_pt_team_season_wins,team1_pt_team_season_losses,team1_pt_coach_season_wins,team1_pt_coach_season_losses,team2_coach_id,team2_coach_name,team2_pt_school_ncaa,team2_pt_overall_ncaa,team2_pt_school_s16,team2_pt_overall_s16,team2_pt_school_ff,team2_pt_overall_ff,team2_pt_career_school_wins,team2_pt_career_school_losses,team2_pt_career_overall_losses,team2_pt_team_season_wins,team2_pt_team_season_losses,team2_pt_coach_season_wins,team2_pt_coach_season_losses,team1_rpi_rating,team2_rpi_rating,team1_fg2pct,team1_fg3pct,team1_ftpct,team1_blockpct,team1_oppfg2pct,team1_oppfg3pct,team1_oppftpct,team1_oppblockpct,team1_fg3rate,team1_oppfg3rate,team1_arate,team1_opparate,team1_stlrate,team1_oppstlrate,team2_fg2pct,team2_fg3pct,team2_ftpct,team2_blockpct,team2_oppfg2pct,team2_oppfg3pct,team2_oppftpct,team2_oppblockpct,team2_fg3rate,team2_oppfg3rate,team2_arate,team2_opparate,team2_stlrate,team2_oppstlrate,team1_tempo,team1_adjtempo,team1_oe,team1_adjoe,team1_de,team1_adjde,team2_tempo,team2_adjtempo,team2_oe,team2_adjoe,team2_de,team2_adjde,team1_lat,team1_long,team2_lat,team2_long,team1_coaches_preseason,team2_coaches_preseason,team1_ap_preseason,team2_ap_preseason,team1_coaches_postseason,team2_coaches_postseason,team1_ap_postseason,team2_ap_postseason
2017-1437-1181,1437,1181,2017,1,2,W01,W02,1,2,W,W,R4W1,new_york,34.8526,-82.394,Villanova,Duke,jay-wright-1,Jay Wright,11,13,5,5,2,2,507,159,244,31,2,31,2,mike-krzyzewski-1,Mike Krzyzewski,32,32,23,23,12,12,1070,269,328,27,7,27,7,0.665,0.646,59.688412853,37.037037037,79.3528505393,9.17832167832,48.8636363636,31.25,71.2230215827,6.13437195716,44.09363092,40.1673640167,53.2311062432,57.8222778473,0.109910976577,0.0781887028494,53.7974683544,37.5979112272,75.8227848101,10.4457751164,48.7691284098,29.4612794613,70.0154559505,6.80379746835,37.7339901478,28.3261802575,47.3140495868,46.4757709251,0.0848086939154,0.0680108366664,65.8287,63.8563,117.917,122.788,95.7139,91.9865,69.7368,67.7993,115.574,121.074,100.308,95.9922,40.039388,-75.345457,36.00159,-78.94226,3.0,1.0,4.0,1.0,1.0,7.0,1.0,7.0
2017-1437-1124,1437,1124,2017,1,3,W01,W03,1,3,W,W,R4W1,new_york,34.8526,-82.394,Villanova,Baylor,jay-wright-1,Jay Wright,11,13,5,5,2,2,507,159,244,31,2,31,2,scott-drew-1,Scott Drew,6,6,3,3,0,0,297,178,189,25,6,25,6,0.665,0.639,59.688412853,37.037037037,79.3528505393,9.17832167832,48.8636363636,31.25,71.2230215827,6.13437195716,44.09363092,40.1673640167,53.2311062432,57.8222778473,0.109910976577,0.0781887028494,52.4734982332,35.3448275862,71.1604095563,13.2456140351,44.2105263158,31.4381270903,72.3484848485,9.80565371025,33.8785046729,34.4073647871,60.2002503129,58.2369942197,0.0792000298868,0.0821887102599,65.8287,63.8563,117.917,122.788,95.7139,91.9865,64.7605,62.9174,110.859,117.351,97.5262,92.3224,40.039388,-75.345457,31.545956,-97.119359,3.0,,4.0,,1.0,11.0,1.0,12.0
2017-1437-1196,1437,1196,2017,1,4,W01,W04,1,4,W,W,R3W1,new_york,34.8526,-82.394,Villanova,Florida,jay-wright-1,Jay Wright,11,13,5,5,2,2,507,159,244,31,2,31,2,michael-white-1,Michael White,0,0,0,0,0,0,146,22,62,24,7,24,7,0.665,0.64,59.688412853,37.037037037,79.3528505393,9.17832167832,48.8636363636,31.25,71.2230215827,6.13437195716,44.09363092,40.1673640167,53.2311062432,57.8222778473,0.109910976577,0.0781887028494,49.917218543,36.2573099415,72.6439790576,12.2529644269,45.4545454545,30.7032590051,70.653907496,7.78145695364,36.1522198732,31.5476190476,47.473560517,40.5835543767,0.106426839794,0.0765217773722,65.8287,63.8563,117.917,122.788,95.7139,91.9865,70.5465,68.6621,109.945,115.869,93.6834,89.4916,40.039388,-75.345457,29.638248,-82.361195,3.0,,4.0,,1.0,17.0,1.0,20.0
2017-1437-1438,1437,1438,2017,1,5,W01,W05,1,5,W,W,R3W1,new_york,34.8526,-82.394,Villanova,Virginia,jay-wright-1,Jay Wright,11,13,5,5,2,2,507,159,244,31,2,31,2,tony-bennett-1,Tony Bennett,4,6,2,3,0,0,256,81,114,22,9,22,9,0.665,0.617,59.688412853,37.037037037,79.3528505393,9.17832167832,48.8636363636,31.25,71.2230215827,6.13437195716,44.09363092,40.1673640167,53.2311062432,57.8222778473,0.109910976577,0.0781887028494,49.9564080209,39.298245614,70.814479638,13.9634801289,45.0053705693,31.2091503268,70.4198473282,7.67218831735,33.1974373908,39.6629941672,57.2145545797,50.4918032787,0.0926577677669,0.0808835762827,65.8287,63.8563,117.917,122.788,95.7139,91.9865,60.098,58.7169,109.116,113.722,91.0938,87.0423,40.039388,-75.345457,38.036545,-78.502597,3.0,7.0,4.0,8.0,1.0,23.0,1.0,24.0
2017-1437-1374,1437,1374,2017,1,6,W01,W06,1,6,W,W,R4W1,new_york,34.8526,-82.394,Villanova,SMU,jay-wright-1,Jay Wright,11,13,5,5,2,2,507,159,244,31,2,31,2,tim-jankovich-1,Tim Jankovich,0,0,0,0,0,0,195,3,124,29,3,29,3,0.665,0.624,59.688412853,37.037037037,79.3528505393,9.17832167832,48.8636363636,31.25,71.2230215827,6.13437195716,44.09363092,40.1673640167,53.2311062432,57.8222778473,0.109910976577,0.0781887028494,51.2886597938,40.2714932127,69.5393759287,11.2008072654,43.5923309788,32.6876513317,68.778280543,8.67697594502,36.288998358,45.4595487067,62.7314814815,56.4102564103,0.0914339857282,0.075326444201,65.8287,63.8563,117.917,122.788,95.7139,91.9865,63.964,63.3635,116.581,119.678,93.8307,95.2905,40.039388,-75.345457,32.845254,-96.784855,3.0,,4.0,,1.0,13.0,1.0,11.0
2017-1437-1376,1437,1376,2017,1,7,W01,W07,1,7,W,W,R4W1,new_york,34.8526,-82.394,Villanova,South Carolina,jay-wright-1,Jay Wright,11,13,5,5,2,2,507,159,244,31,2,31,2,frank-martin-1,Frank Martin,0,4,0,1,0,0,209,72,126,22,9,22,9,0.665,0.587,59.688412853,37.037037037,79.3528505393,9.17832167832,48.8636363636,31.25,71.2230215827,6.13437195716,44.09363092,40.1673640167,53.2311062432,57.8222778473,0.109910976577,0.0781887028494,44.9752883031,33.3873581848,69.220246238,10.624417521,45.2935694315,29.5825771325,71.1462450593,9.22570016474,33.6974330967,33.9285714286,51.1968085106,44.8382126348,0.111547436116,0.0865061749474,65.8287,63.8563,117.917,122.788,95.7139,91.9865,69.4781,68.0273,101.288,105.558,91.2976,88.5558,40.039388,-75.345457,34.006153,-81.037739,3.0,,4.0,,1.0,,1.0,
2017-1437-1458,1437,1458,2017,1,8,W01,W08,1,8,W,W,R2W1,buffalo,42.875,-78.8764,Villanova,Wisconsin,jay-wright-1,Jay Wright,11,13,5,5,2,2,507,159,244,31,2,31,2,greg-gard-1,Greg Gard,1,1,1,1,0,0,40,15,15,25,7,25,7,0.665,0.597,59.688412853,37.037037037,79.3528505393,9.17832167832,48.8636363636,31.25,71.2230215827,6.13437195716,44.09363092,40.1673640167,53.2311062432,57.8222778473,0.109910976577,0.0781887028494,51.1589403974,35.4519774011,64.2628205128,9.88274706868,42.0435510888,37.5212224109,73.6842105263,8.52649006623,36.9519832985,33.0342120022,51.7836593786,45.643153527,0.105993369629,0.0809992999346,65.8287,63.8563,117.917,122.788,95.7139,91.9865,64.7386,63.0938,110.698,114.114,93.3348,90.8938,40.039388,-75.345457,43.073858,-89.405356,3.0,10.0,4.0,9.0,1.0,22.0,1.0,25.0
2017-1437-1439,1437,1439,2017,1,9,W01,W09,1,9,W,W,R2W1,buffalo,42.875,-78.8764,Villanova,Virginia Tech,jay-wright-1,Jay Wright,11,13,5,5,2,2,507,159,244,31,2,31,2,buzz-williams-1,Buzz Williams,0,5,0,3,0,0,206,46,132,22,9,22,9,0.665,0.582,59.688412853,37.037037037,79.3528505393,9.17832167832,48.8636363636,31.25,71.2230215827,6.13437195716,44.09363092,40.1673640167,53.2311062432,57.8222778473,0.109910976577,0.0781887028494,54.7596606975,40.2560455192,73.4265734266,6.99685534591,49.1352201258,36.0114777618,71.4555765595,11.8755890669,39.8526077098,35.3986795328,55.9027777778,49.200913242,0.0567891923068,0.0780851394219,65.8287,63.8563,117.917,122.788,95.7139,91.9865,69.9367,68.1755,112.502,117.427,106.185,102.513,40.039388,-75.345457,37.237477,-80.434849,3.0,,4.0,,1.0,,1.0,
2017-1437-1266,1437,1266,2017,1,10,W01,W10,1,10,W,W,R4W1,new_york,34.8526,-82.394,Villanova,Marquette,jay-wright-1,Jay Wright,11,13,5,5,2,2,507,159,244,31,2,31,2,steve-wojciechowski-1,Steve Wojciechowski,0,0,0,0,0,0,52,43,43,19,11,19,11,0.665,0.566,59.688412853,37.037037037,79.3528505393,9.17832167832,48.8636363636,31.25,71.2230215827,6.13437195716,44.09363092,40.1673640167,53.2311062432,57.8222778473,0.109910976577,0.0781887028494,52.6851851852,43.0463576159,77.9334500876,9.42760942761,50.1683501684,36.9105691057,69.7530864198,10.462962963,41.1444141689,34.1098169717,57.3825503356,60.0243013366,0.103120176842,0.0900040139981,65.8287,63.8563,117.917,122.788,95.7139,91.9865,71.0408,69.7841,115.653,120.999,105.356,103.405,40.039388,-75.345457,43.038765,-87.928122,3.0,,4.0,,1.0,,1.0,
2017-1437-1344,1437,1344,2017,1,11,W01,W11a,1,11,W,W,R4W1,new_york,34.8526,-82.394,Villanova,Providence,jay-wright-1,Jay Wright,11,13,5,5,2,2,507,159,244,31,2,31,2,ed-cooley-1,Ed Cooley,3,3,0,0,0,0,214,78,147,19,11,19,11,0.665,0.57,59.688412853,37.037037037,79.3528505393,9.17832167832,48.8636363636,31.25,71.2230215827,6.13437195716,44.09363092,40.1673640167,53.2311062432,57.8222778473,0.109910976577,0.0781887028494,49.0616621984,36.8,69.0690690691,8.19812126388,50.0426985482,32.6797385621,67.2897196262,8.22162645219,35.8371559633,34.3241727426,58.2798459564,48.3460559796,0.0987716709066,0.0927994303401,65.8287,63.8563,117.917,122.788,95.7139,91.9865,67.7701,66.174,103.256,108.125,98.2869,95.2071,40.039388,-75.345457,41.844064,-71.43792,3.0,,4.0,,1.0,,1.0,
2017-1437-1425,1437,1425,2017,1,11,W01,W11b,1,11,W,W,R4W1,new_york,34.8526,-82.394,Villanova,USC,jay-wright-1,Jay Wright,11,13,5,5,2,2,507,159,244,31,2,31,2,andy-enfield-1,Andy Enfield,1,2,0,1,0,0,108,62,90,23,8,23,8,0.665,0.587,59.688412853,37.037037037,79.3528505393,9.17832167832,48.8636363636,31.25,71.2230215827,6.13437195716,44.09363092,40.1673640167,53.2311062432,57.8222778473,0.109910976577,0.0781887028494,50.4746835443,36.3253856942,73.9130434783,13.5914958238,46.8488990129,36.4597093791,71.3131313131,8.70253164557,36.0647445625,36.4995178399,56.2987736901,53.5274356103,0.101859793617,0.0784192553367,65.8287,63.8563,117.917,122.788,95.7139,91.9865,70.8167,68.7399,110.855,112.488,102.912,100.201,40.039388,-75.345457,34.021058,-118.283858,3.0,,4.0,,1.0,,1.0,
2017-1437-1423,1437,1423,2017,1,12,W01,W12,1,12,W,W,R3W1,new_york,34.8526,-82.394,Villanova,UNC Wilmington,jay-wright-1,Jay Wright,11,13,5,5,2,2,507,159,244,31,2,31,2,kevin-keatts-1,Kevin Keatts,1,1,0,0,0,0,72,26,26,29,4,29,4,0.665,0.602,59.688412853,37.037037037,79.3528505393,9.17832167832,48.8636363636,31.25,71.2230215827,6.13437195716,44.09363092,40.1673640167,53.2311062432,57.8222778473,0.109910976577,0.0781887028494,56.085106383,35.9763313609,68.9102564103,8.48678943155,54.2033626902,33.7186897881,70.6896551724,7.65957446809,41.8316831683,29.3552036199,51.9210799585,47.8873239437,0.0913525498891,0.0611973392461,65.8287,63.8563,117.917,122.788,95.7139,91.9865,70.2145,69.9571,118.102,117.807,105.254,105.418,40.039388,-75.345457,34.225223,-77.875527,3.0,,4.0,,1.0,,1.0,
2017-1437-1190,1437,1190,2017,1,13,W01,W13,1,13,W,W,R3W1,new_york,34.8526,-82.394,Villanova,ETSU,jay-wright-1,Jay Wright,11,13,5,5,2,2,507,159,244,31,2,31,2,steve-forbes-3,Steve Forbes,0,0,0,0,0,0,51,18,18,27,6,27,6,0.665,0.571,59.688412853,37.037037037,79.3528505393,9.17832167832,48.8636363636,31.25,71.2230215827,6.13437195716,44.09363092,40.1673640167,53.2311062432,57.8222778473,0.109910976577,0.0781887028494,55.4498269896,38.2165605096,69.7823303457,14.404432133,45.3370267775,35.5618776671,72.4444444444,9.8615916955,35.201793722,39.3617021277,53.9160045403,47.0985155196,0.118800760325,0.0941766027303,65.8287,63.8563,117.917,122.788,95.7139,91.9865,71.5356,69.9066,109.91,108.049,96.2229,96.5612,40.039388,-75.345457,36.301643,-82.366954,3.0,,4.0,,1.0,,1.0,
2017-1437-1308,1437,1308,2017,1,14,W01,W14,1,14,W,W,R4W1,new_york,34.8526,-82.394,Villanova,New Mexico St,jay-wright-1,Jay Wright,11,13,5,5,2,2,507,159,244,31,2,31,2,paul-weir-1,Paul Weir,0,0,0,0,0,0,28,4,4,28,4,28,4,0.665,0.568,59.688412853,37.037037037,79.3528505393,9.17832167832,48.8636363636,31.25,71.2230215827,6.13437195716,44.09363092,40.1673640167,53.2311062432,57.8222778473,0.109910976577,0.0781887028494,54.5014520813,33.4337349398,70.8945260347,9.12250217202,48.5664639444,30.1056338028,67.7100494234,5.3242981607,39.1278727166,33.0424665503,56.050955414,44.3835616438,0.0697213533583,0.0754518755522,65.8287,63.8563,117.917,122.788,95.7139,91.9865,69.516,67.3583,110.733,110.074,97.215,102.767,40.039388,-75.345457,32.282875,-106.747841,3.0,,4.0,,1.0,,1.0,
2017-1437-1407,1437,1407,2017,1,15,W01,W15,1,15,W,W,R4W1,new_york,34.8526,-82.394,Villanova,Troy,jay-wright-1,Jay Wright,11,13,5,5,2,2,507,159,244,31,2,31,2,phil-cunningham-1,Phil Cunningham,0,0,0,0,0,0,51,74,74,21,13,21,13,0.665,0.507,59.688412853,37.037037037,79.3528505393,9.17832167832,48.8636363636,31.25,71.2230215827,6.13437195716,44.09363092,40.1673640167,53.2311062432,57.8222778473,0.109910976577,0.0781887028494,50.987432675,36.1256544503,71.9687092568,9.57264957265,49.6581196581,33.6375488918,72.34375,9.06642728905,40.6815761448,39.5973154362,48.6966824645,50.178784267,0.0826567623564,0.0848319403131,65.8287,63.8563,117.917,122.788,95.7139,91.9865,69.4312,67.9268,109.712,110.346,104.666,107.917,40.039388,-75.345457,31.800128,-85.950191,3.0,,4.0,,1.0,,1.0,
