id,season,team_1ID,team_2id,team_1seed,team_2seed,team_1score,team_2score,team_1outcome
2003-1421-1411,2003,1421,1411,16,16,92,84,1
2003-1112-1436,2003,1436,1436,1,16,80,51,1
2003-1113-1272,2003,1272,1113,7,10,71,84,0
2003-1141-1166,2003,1166,1141,6,11,73,79,0
2003-1143-1301,2003,1301,1301,8,9,76,74,1
2003-1163-1140,2003,1140,1140,5,12,58,53,1
2003-1181-1161,2003,1161,1161,3,14,67,57,1
2003-1211-1153,2003,1153,1211,8,9,69,74,0
2003-1228-1443,2003,1443,1443,4,13,65,60,1
2003-1242-1429,2003,1429,1429,2,15,64,61,1
2003-1266-1221,2003,1221,1221,3,14,72,68,1
2003-1281-1356,2003,1356,1356,6,11,72,71,1
2003-1323-1454,2003,1454,1454,5,12,70,69,1
2003-1328-1354,2003,1354,1354,1,16,71,54,1
2003-1390-1360,2003,1360,1360,4,13,77,69,1
2003-1409-1173,2003,1173,1409,4,13,71,84,0
2003-1458-1451,2003,1451,1451,5,12,81,74,1
2003-1120-1386,2003,1386,1120,7,10,63,65,0
2003-1139-1280,2003,1280,1139,5,12,46,47,0
2003-1196-1358,2003,1358,1358,2,15,85,55,1
2003-1231-1104,2003,1104,1104,7,10,67,62,1
2003-1246-1237,2003,1237,1237,1,16,95,64,1
2003-1257-1122,2003,1122,1122,4,13,86,64,1
2003-1268-1423,2003,1423,1423,6,11,75,73,1
2003-1277-1160,2003,1160,1160,7,10,79,64,1
2003-1329-1335,2003,1335,1335,6,11,77,63,1
2003-1338-1447,2003,1447,1447,2,15,87,61,1
2003-1345-1261,2003,1261,1345,8,9,56,80,0
2003-1393-1264,2003,1264,1264,3,14,76,65,1
2003-1400-1421,2003,1421,1421,1,16,82,61,1
2003-1428-1332,2003,1332,1428,8,9,58,60,0
2003-1448-1190,2003,1190,1190,2,15,76,73,1
2003-1462-1407,2003,1407,1407,3,14,71,59,1
2003-1112-1211,2003,1211,1211,1,9,96,95,1
2003-1163-1390,2003,1390,1163,4,5,74,85,0
2003-1181-1141,2003,1141,1141,3,11,86,60,1
2003-1242-1113,2003,1113,1113,2,10,108,76,1
2003-1266-1281,2003,1281,1281,3,6,101,92,1
2003-1323-1228,2003,1228,1323,4,5,60,68,0
2003-1328-1143,2003,1143,1143,1,8,74,65,1
2003-1458-1409,2003,1409,1409,5,13,61,60,1
2003-1120-1448,2003,1448,1120,2,10,62,68,0
2003-1139-1257,2003,1257,1139,4,12,71,79,0
2003-1246-1428,2003,1428,1428,1,9,74,54,1
2003-1268-1462,2003,1462,1268,3,6,64,77,0
2003-1277-1196,2003,1196,1277,2,7,46,68,0
2003-1338-1231,2003,1231,1231,2,7,74,52,1
2003-1393-1329,2003,1329,1329,3,6,68,56,1
2003-1400-1345,2003,1345,1345,1,9,77,67,1
2003-1112-1323,2003,1323,1323,1,5,88,71,1
2003-1242-1181,2003,1181,1181,2,3,69,65,1
2003-1246-1458,2003,1458,1458,1,5,63,57,1
2003-1266-1338,2003,1338,1266,2,3,74,77,0
2003-1277-1268,2003,1268,1277,6,7,58,60,0
2003-1328-1139,2003,1139,1139,1,12,65,54,1
2003-1393-1120,2003,1120,1120,3,10,79,78,1
2003-1400-1163,2003,1163,1163,1,5,82,78,1
2003-1242-1112,2003,1112,1242,1,2,75,78,0
2003-1266-1246,2003,1246,1266,1,3,69,83,0
2003-1393-1328,2003,1328,1393,1,3,47,63,0
2003-1400-1277,2003,1277,1277,1,7,85,76,1
2003-1242-1266,2003,1266,1266,2,3,94,61,1
2003-1393-1400,2003,1400,1393,1,3,84,95,0
2003-1393-1242,2003,1242,1393,2,3,78,81,0
2004-1197-1250,2004,1250,1250,16,16,72,57,1
2004-1104-1356,2004,1356,1356,8,9,65,64,1
2004-1163-1436,2004,1436,1436,2,15,70,53,1
2004-1177-1173,2004,1173,1173,7,10,76,69,1
2004-1181-1106,2004,1106,1106,1,16,96,61,1
2004-1211-1434,2004,1434,1434,2,15,76,49,1
2004-1264-1196,2004,1196,1264,5,12,60,75,0
2004-1268-1431,2004,1431,1431,4,13,86,83,1
2004-1305-1277,2004,1277,1305,7,10,66,72,0
2004-1314-1102,2004,1102,1102,6,11,63,52,1
2004-1371-1112,2004,1112,1112,8,9,80,76,1
2004-1386-1251,2004,1251,1251,1,16,82,63,1
2004-1390-1427,2004,1427,1427,1,16,71,45,1
2004-1393-1140,2004,1140,1140,5,12,80,75,1
2004-1400-1343,2004,1343,1343,3,14,66,49,1
2004-1403-1150,2004,1150,1150,8,9,76,73,1
2004-1448-1433,2004,1433,1433,4,13,79,78,1
2004-1130-1428,2004,1428,1428,6,11,58,51,1
2004-1153-1190,2004,1190,1190,4,13,80,77,1
2004-1210-1320,2004,1320,1320,3,14,65,60,1
2004-1228-1293,2004,1293,1293,5,12,72,53,1
2004-1242-1227,2004,1227,1227,4,13,78,53,1
2004-1246-1197,2004,1197,1197,1,16,96,76,1
2004-1272-1376,2004,1376,1376,7,10,59,43,1
2004-1280-1284,2004,1284,1284,2,15,85,52,1
2004-1301-1418,2004,1418,1418,3,14,61,52,1
2004-1329-1186,2004,1186,1186,2,15,75,56,1
2004-1334-1344,2004,1344,1334,5,12,58,66,0
2004-1338-1416,2004,1416,1416,3,14,53,44,1
2004-1412-1449,2004,1449,1412,8,9,100,102,0
2004-1435-1444,2004,1444,1444,6,11,71,58,1
2004-1458-1350,2004,1350,1350,6,11,76,64,1
2004-1462-1257,2004,1257,1257,7,10,80,70,1
2004-1104-1390,2004,1390,1104,1,8,67,70,0
2004-1163-1177,2004,1177,1177,2,7,72,55,1
2004-1181-1371,2004,1371,1371,1,8,90,62,1
2004-1305-1211,2004,1211,1305,2,10,72,91,0
2004-1386-1403,2004,1403,1403,1,8,70,65,1
2004-1393-1268,2004,1268,1393,4,5,70,72,0
2004-1400-1314,2004,1314,1314,3,6,78,75,1
2004-1448-1264,2004,1264,1264,4,12,84,80,1
2004-1210-1130,2004,1130,1130,3,6,57,54,1
2004-1228-1153,2004,1153,1228,4,5,68,92,0
2004-1242-1334,2004,1334,1334,4,12,78,63,1
2004-1329-1272,2004,1272,1272,2,7,70,53,1
2004-1338-1458,2004,1458,1458,3,6,59,55,1
2004-1412-1246,2004,1246,1412,1,9,75,76,0
2004-1435-1301,2004,1301,1435,3,6,73,75,0
2004-1462-1280,2004,1280,1462,2,7,74,89,0
2004-1104-1393,2004,1393,1104,5,8,71,80,0
2004-1163-1435,2004,1435,1435,2,6,73,53,1
2004-1329-1338,2004,1338,1338,2,3,63,51,1
2004-1386-1448,2004,1448,1448,1,4,84,80,1
2004-1181-1228,2004,1228,1228,1,5,72,62,1
2004-1210-1305,2004,1305,1305,3,10,72,67,1
2004-1242-1412,2004,1412,1412,4,9,100,74,1
2004-1462-1400,2004,1400,1462,3,7,71,79,0
2004-1163-1104,2004,1104,1104,2,8,87,71,1
2004-1329-1386,2004,1386,1329,1,2,62,64,0
2004-1181-1462,2004,1462,1462,1,7,66,63,1
