,log_loss,no_predictor,no_pca
0,0.7241757558150671,10,3
1,0.6895016224307676,10,4
2,0.6900318793500636,10,5
3,0.6616361024588923,10,6
4,0.6602448939936552,10,7
5,0.6533779328612017,10,8
6,0.6515704028764341,10,9
7,0.6481693316229205,11,3
8,0.6238524286884797,11,4
9,0.6193480954523635,11,5
10,0.6331725264038383,11,6
11,0.582394332798829,11,7
12,0.5869002746127068,11,8
13,0.5901077358972033,11,9
14,0.590075003343175,11,10
15,0.6324073496437679,12,3
16,0.6538396366670736,12,4
17,0.648968145930934,12,5
18,0.6530067519416612,12,6
19,0.5931634295231212,12,7
20,0.5933547600921314,12,8
21,0.5910323995708824,12,9
22,0.599286942502275,12,10
23,0.6015804484753328,12,11
24,0.6473357000670354,13,3
25,0.6223338981329151,13,4
26,0.5935818159328042,13,5
27,0.5293860853415822,13,6
28,0.5401772119498626,13,7
29,0.5392504309867061,13,8
30,0.5266486590002678,13,9
31,0.529621156065391,13,10
32,0.5296206530225874,13,11
33,0.5296203255672746,13,12
34,0.6142769810713277,14,3
35,0.6464007315106493,14,4
36,0.6201033663698071,14,5
37,0.6178056496987295,14,6
38,0.6157611675520809,14,7
39,0.5187328888391468,14,8
40,0.5197535288295226,14,9
41,0.5108557994918721,14,10
42,0.5112020767517511,14,11
43,0.5112372932132637,14,12
44,0.5112375037585252,14,13
45,0.6933329538284961,15,3
46,0.629961970480753,15,4
47,0.6305049502243519,15,5
48,0.6250486342376144,15,6
49,0.6362028729135439,15,7
50,0.5887084978602309,15,8
51,0.590004612423284,15,9
52,0.5895934428992408,15,10
53,0.592872150757613,15,11
54,0.5917853896614603,15,12
55,0.5917383249910358,15,13
56,0.5917385526930253,15,14
57,0.6447611282493949,16,3
58,0.5916308001654565,16,4
59,0.5501563941944033,16,5
60,0.5621921495256419,16,6
61,0.558425753338782,16,7
62,0.5141516601507891,16,8
63,0.5139941117409876,16,9
64,0.5110740883755934,16,10
65,0.5019839951207262,16,11
66,0.5045987131138696,16,12
67,0.5045709321943952,16,13
68,0.4893973591482337,16,14
69,0.490831079862933,16,15
70,0.6514345753883372,17,3
71,0.6089492405983377,17,4
72,0.5675306114788286,17,5
73,0.5674740831052374,17,6
74,0.5405967077782043,17,7
75,0.5290085990805372,17,8
76,0.5381229775872665,17,9
77,0.5399622936791681,17,10
78,0.5425265133701104,17,11
79,0.5301971572434097,17,12
80,0.5257543679256752,17,13
81,0.5257418391448755,17,14
82,0.5144582916140049,17,15
83,0.5134708567058616,17,16
84,0.6438847135401988,18,3
85,0.6113166065497545,18,4
86,0.5675244229527211,18,5
87,0.5659991825301454,18,6
88,0.5718331924318392,18,7
89,0.5596680474631694,18,8
90,0.5537397000114347,18,9
91,0.5527564639586193,18,10
92,0.5631692550978102,18,11
93,0.5582508964525121,18,12
94,0.5549034416821613,18,13
95,0.5400734205624113,18,14
96,0.5417241027966951,18,15
97,0.5415883313131823,18,16
98,0.54152913226746,18,17
99,0.6706595694740264,19,3
100,0.6531556002232478,19,4
101,0.6445975524508446,19,5
102,0.6385547942140265,19,6
103,0.6315268327121347,19,7
104,0.6200921616212107,19,8
105,0.623179917171267,19,9
106,0.6258276217611187,19,10
107,0.6257896057959951,19,11
108,0.6231086574637237,19,12
109,0.6163577794529131,19,13
110,0.6163182155564204,19,14
111,0.6040985597081934,19,15
112,0.6061808490407935,19,16
113,0.6046068173844069,19,17
114,0.6046985860368191,19,18
115,0.6554625864337909,20,3
116,0.6527694912276261,20,4
117,0.6301294215034051,20,5
118,0.6284173907825843,20,6
119,0.6197832471963772,20,7
120,0.6355652881105048,20,8
121,0.6070139316286908,20,9
122,0.6113178874750925,20,10
123,0.6112512917019233,20,11
124,0.6075424904821654,20,12
125,0.6084324439961356,20,13
126,0.6149247763456186,20,14
127,0.6113567632206283,20,15
128,0.6105935635119779,20,16
129,0.6101746783169602,20,17
130,0.5966820661501443,20,18
131,0.6008958427174003,20,19
132,0.7002250748539363,21,3
133,0.7002099364844536,21,4
134,0.6887816803298714,21,5
135,0.6963484461344218,21,6
136,0.6951186273692692,21,7
137,0.6924049063625589,21,8
138,0.6822878835475162,21,9
139,0.6768016116610824,21,10
140,0.6740033168378508,21,11
141,0.6743996377438262,21,12
142,0.6754857555780973,21,13
143,0.6696687393763034,21,14
144,0.6717523055836419,21,15
145,0.6639812675827684,21,16
146,0.6567763836057491,21,17
147,0.6573086862794643,21,18
148,0.6564675928920564,21,19
149,0.6565602768029077,21,20
150,0.6425581382658483,22,3
151,0.6523943066807154,22,4
152,0.6291649810021158,22,5
153,0.6043168389268504,22,6
154,0.6000788248785414,22,7
155,0.6032990335931081,22,8
156,0.5811733087122196,22,9
157,0.5813155331705628,22,10
158,0.5803827300265986,22,11
159,0.5819202103225056,22,12
160,0.5814904543714343,22,13
161,0.5708510351869946,22,14
162,0.5305435217060471,22,15
163,0.5339617432312833,22,16
164,0.5353709461645778,22,17
165,0.535058117913943,22,18
166,0.5350843034277633,22,19
167,0.535069817422762,22,20
168,0.5350682309909596,22,21
169,0.6439058532897696,23,3
170,0.6434972891949413,23,4
171,0.5667283822742826,23,5
172,0.5673579412100699,23,6
173,0.5671733226213884,23,7
174,0.5629553685628335,23,8
175,0.5655554267189347,23,9
176,0.5645857927726196,23,10
177,0.5573338432891246,23,11
178,0.566163693942073,23,12
179,0.560834901099837,23,13
180,0.5622671039858202,23,14
181,0.5624508533485842,23,15
182,0.5580140399582122,23,16
183,0.5570471798526999,23,17
184,0.5575230218658311,23,18
185,0.5575282194643479,23,19
186,0.5575286359404388,23,20
187,0.5575285028737825,23,21
188,0.5575285986804276,23,22
189,0.5813151932620366,24,3
190,0.5835367404651887,24,4
191,0.5523239637165677,24,5
192,0.5568195417458082,24,6
