,log_loss,no_predictor,no_pca
0,0.6273494876266749,10,3
1,0.6476951990049197,10,4
2,0.6350639537530658,10,5
3,0.6129561490314467,10,6
4,0.5971161996431412,10,7
5,0.5945794324285004,10,8
6,0.5890425345397614,10,9
7,0.6326512406380874,11,3
8,0.620882546340855,11,4
9,0.5621100238375508,11,5
10,0.5889866923692707,11,6
11,0.5950821108465008,11,7
12,0.5915480730236776,11,8
13,0.6163007668495153,11,9
14,0.5463479139137996,11,10
15,0.6794540245424916,12,3
16,0.6788185229178302,12,4
17,0.6752776038421062,12,5
18,0.6708681432964022,12,6
19,0.6619657616000741,12,7
20,0.6089107509600806,12,8
21,0.6090347009293804,12,9
22,0.6098287136489806,12,10
23,0.5654758170518545,12,11
24,0.6168037437999622,13,3
25,0.6167809826870421,13,4
26,0.5557691651973328,13,5
27,0.553112317842301,13,6
28,0.5473826299416699,13,7
29,0.513981982072109,13,8
30,0.5147921473654239,13,9
31,0.5074793813410272,13,10
32,0.4857755179581868,13,11
33,0.4872519632659366,13,12
34,0.6614492078770227,14,3
35,0.6308190956564989,14,4
36,0.6203251462578862,14,5
37,0.6220503278585436,14,6
38,0.5886305848036716,14,7
39,0.582223248781311,14,8
40,0.5815676930372368,14,9
41,0.571695441574399,14,10
42,0.5124871295936042,14,11
43,0.5176359069559346,14,12
44,0.521470267973723,14,13
45,0.6113979049026866,15,3
46,0.569946213670915,15,4
47,0.5457321366437172,15,5
48,0.5350171034187975,15,6
49,0.5460615719534372,15,7
50,0.5336045775816621,15,8
51,0.5358941605162599,15,9
52,0.5320520212222702,15,10
53,0.5325056271855189,15,11
54,0.5221831483151984,15,12
55,0.5273470343611529,15,13
56,0.5258703246669557,15,14
57,0.5940416968974386,16,3
58,0.5464461655299223,16,4
59,0.5225639288530292,16,5
60,0.5219440938591713,16,6
61,0.5158690187449488,16,7
62,0.5131489500476173,16,8
63,0.5127371413793113,16,9
64,0.5112689745800281,16,10
65,0.5139157248665743,16,11
66,0.5147519496073268,16,12
67,0.5195824000421166,16,13
68,0.5259839792940525,16,14
69,0.5336480710173434,16,15
70,0.6244305815618545,17,3
71,0.6244421722717531,17,4
