id,prob
2017-1437-1181,0.562208601
2017-1437-1124,0.788795034
2017-1437-1196,0.678057111
2017-1437-1438,0.669063101
2017-1437-1374,0.735008592
2017-1437-1376,0.867208421
2017-1437-1458,0.763644671
2017-1437-1439,0.881993488
2017-1437-1266,0.859441611
2017-1437-1344,0.921470605
2017-1437-1425,0.930932401
2017-1437-1423,0.886561247
2017-1437-1190,0.892537495
2017-1437-1308,0.937789733
2017-1437-1407,0.951132404
2017-1437-1291,0.969566569
2017-1437-1309,0.976195935
2017-1437-1211,0.442235215
2017-1437-1112,0.730228436
2017-1437-1199,0.773871394
2017-1437-1452,0.666197209
2017-1437-1323,0.794768059
2017-1437-1268,0.854649579
2017-1437-1388,0.75595165
2017-1437-1321,0.875568925
2017-1437-1435,0.878275532
2017-1437-1433,0.877530993
2017-1437-1462,0.9155185
2017-1437-1343,0.873565291
2017-1437-1137,0.9089612
2017-1437-1195,0.931232893
2017-1437-1315,0.966439857
2017-1437-1355,0.965115855
2017-1437-1242,0.655370199
2017-1437-1257,0.57927659
2017-1437-1332,0.748686759
2017-1437-1345,0.789544253
2017-1437-1235,0.771441517
2017-1437-1166,0.852201497
2017-1437-1276,0.764980148
2017-1437-1274,0.841942034
2017-1437-1277,0.911146851
2017-1437-1329,0.830601981
2017-1437-1348,0.855086806
2017-1437-1305,0.925867574
2017-1437-1436,0.848443797
2017-1437-1233,0.938980438
2017-1437-1240,0.959527229
2017-1437-1300,0.945932993
2017-1437-1413,0.984946858
2017-1437-1314,0.587687478
2017-1437-1246,0.58589714
2017-1437-1417,0.777838277
2017-1437-1139,0.75787586
2017-1437-1278,0.859555398
2017-1437-1153,0.739695852
2017-1437-1173,0.863129699
2017-1437-1116,0.847970593
2017-1437-1371,0.894256946
2017-1437-1455,0.71605691
2017-1437-1243,0.905875845
2017-1437-1448,0.882146829
2017-1437-1292,0.883770483
2017-1437-1457,0.916857155
2017-1437-1245,0.944954259
2017-1437-1297,0.959124813
2017-1437-1411,0.971153973
2017-1181-1124,0.732424465
2017-1181-1196,0.6073136
2017-1181-1438,0.598584148
2017-1181-1374,0.670328822
2017-1181-1376,0.826688673
2017-1181-1458,0.703563364
2017-1181-1439,0.845343283
2017-1181-1266,0.816528161
2017-1181-1344,0.896422514
2017-1181-1425,0.906333328
2017-1181-1423,0.849363372
