,seed,lat,long,fg2pct,fg3pct,ftpct,blockpct,oppfg2pct,oppfg3pct,oppftpct,oppblockpct,f3grate,oppf3grate,arate,opparate,stlrate,oppstlrate,tempo,adjtempo,oe,adjoe,de,adjde,rpi_rating,pt_school_ncaa,pt_overall_ncaa,pt_school_s16,pt_overall_s16,pt_school_ff,pt_overall_ff,pt_career_school_wins,pt_career_school_losses,pt_career_overall_losses,team_season_wins,pt_team_season_losses,pt_coach_season_wins,pt_coach_season_losses,expwin,log5,prob
0,-1,4.037798,3.5968029999999995,5.890944499999996,-0.5608741899999998,3.530065730000004,-1.2674534420000008,0.09450795000000056,1.78872054,1.2075656299999906,-0.6694255109999991,6.359640770000006,11.84118376,5.917056649999999,11.346506919999996,0.02510228299999999,0.010177865999999994,-3.9081000000000046,-3.943000000000005,2.3430000000000035,1.7139999999999986,-4.594099999999997,-4.00569999999999,0.019000000000000128,-21,-19,-18,-18,-10,-10,-563,-110,-84,4,-5,4,-5,0.02994981886242787,0.3148537675246062,0.5674765632625234
1,-2,8.493432,21.773902,7.214914620000002,1.69220945,8.19244098,-4.067292362,4.653110040000001,-0.18812708999999828,-1.1254632700000116,-3.671281752999999,10.215126250000004,5.759999229999998,-6.969144069999999,-0.4147163700000007,0.03071094699999999,-0.004000007,1.0682000000000045,0.9388999999999967,7.058000000000007,5.436999999999998,-1.8123000000000076,-0.3358999999999952,0.026000000000000023,5,7,2,2,2,2,210,-19,55,6,-4,6,-4,0.024755694750871915,0.2741773903066548,0.7899225865658185
2,-3,10.40114,7.015738,9.771194309999998,0.7797271000000023,6.708871479999999,-3.074642752000001,3.4090909100000033,0.54674099,0.5691140800000056,-1.6470849969999986,7.941411049999999,8.61974497,5.757545720000003,17.238723469999996,0.0034841369999999983,0.0016669259999999991,-4.717799999999997,-4.805799999999998,7.972000000000008,6.918999999999997,2.0304999999999893,2.4949000000000012,0.025000000000000022,11,13,5,5,2,2,361,137,182,7,-5,7,-5,0.013926313970467064,0.1736099636149684,0.6783316236466533
3,-4,2.002843,3.1571399999999996,9.732004830000001,-2.261208570000001,8.538370900000004,-4.785158452000001,3.8582657900000044,0.04084967000000006,0.8031742499999979,-1.5378163599999999,10.896193530000005,0.5043698500000033,-3.9834483399999954,7.33047457,0.01725320899999999,-0.0026948730000000004,5.730699999999999,5.139399999999995,8.801000000000002,9.065999999999988,4.620099999999994,4.944200000000009,0.04800000000000004,7,7,3,2,2,2,251,78,130,9,-7,9,-7,0.009319973514355095,0.1227430439922671,0.6702344555425487
4,-5,7.194134,21.439397999999997,8.399753060000002,-3.2344561700000014,9.81347461,-2.0224855920000007,5.271305380000001,-1.4376513300000013,2.4447410399999967,-2.5426039879999998,7.804632560000002,-5.292184689999999,-9.500375239999997,1.4120214399999966,0.018476990999999998,0.002862258999999992,1.8646999999999991,0.49279999999999546,1.3359999999999985,3.1099999999999994,1.8832000000000022,-3.303999999999988,0.041000000000000036,11,13,5,5,2,2,312,156,120,2,-1,2,-1,0.032982683573849036,0.33674885051487674,0.7357113193804752
5,-6,6.0332349999999995,5.692282,14.713124550000003,3.6496788600000016,10.132604300000011,-1.446095842,3.570066930000003,1.6674228699999993,0.07677651999999568,-3.0913282079999984,10.396197820000005,6.238792590000003,2.034297730000006,12.984065219999998,-0.0016364590000000068,-0.008317472000000006,-3.6494,-4.170999999999999,16.629000000000005,17.230000000000004,4.416299999999993,3.4307000000000016,0.07799999999999996,11,9,5,4,2,2,298,87,118,9,-7,9,-7,0.08230382533799008,0.5722359335099482,0.8678573582245108
6,-7,-3.03447,14.059899,8.52947245,1.5850596400000043,15.090030030000008,-0.7044253910000009,6.82008527,-6.27122241,-2.4611889500000075,-2.392118109,7.141647620000008,7.133152020000004,1.4474468599999994,12.17912432,0.00391760699999999,-0.002810597000000012,1.0900999999999925,0.7624999999999957,7.219000000000008,8.674000000000007,2.379099999999994,1.0927000000000078,0.06800000000000006,10,12,4,4,2,2,467,144,229,6,-5,6,-5,0.03325113143720648,0.33862623397797215,0.7654547218764763
7,-8,2.801911000000001,5.089392,4.928752149999994,-3.2190084799999994,5.926277110000001,2.1814663319999994,-0.27158376999999945,-4.761477759999998,-0.2325549800000033,-5.741217112999999,4.241023210000002,4.768684489999998,-2.6716715399999984,8.62136461,0.05312178499999999,0.00010356400000000043,-4.108000000000004,-4.319200000000002,5.414999999999992,5.36099999999999,-10.471100000000007,-10.526499999999984,0.08299999999999996,11,8,5,2,2,2,301,113,112,9,-7,9,-7,0.13851367278767446,0.7062658715639972,0.8833793162857311
8,-9,-2.999376999999999,12.582664999999999,7.00322766,-6.009320580000001,1.419400450000012,-0.24928775000000059,-1.3047138099999955,-5.660569109999997,1.4699351599999915,-4.328591003,2.949216750000005,6.057547050000004,-4.151444099999999,-2.202023490000002,0.0067908,-0.011815311000000009,-5.212100000000007,-5.927799999999998,2.26400000000001,1.7890000000000015,-9.642100000000013,-11.418499999999995,0.09899999999999998,11,13,5,5,2,2,455,116,201,12,-9,12,-9,0.10615887458707352,0.6394299878391982,0.8605915037762353
9,-10,-1.8046759999999997,-3.9075370000000005,10.626750649999998,0.23703704000000414,10.283781470000008,0.9802004140000005,-1.1790621899999962,-1.429738559999997,3.9333019500000006,-2.087254495,8.256474960000006,5.843191279999999,-5.04873972,9.476221869999996,0.011139306000000002,-0.014610727000000004,-1.9414000000000016,-2.317699999999995,14.661000000000001,14.662999999999997,-2.5730000000000075,-3.2205999999999904,0.09500000000000008,8,10,5,5,2,2,293,81,97,12,-9,12,-9,0.15313645943883214,0.7301777925742954,0.9217929831055168
