"game_id","seed.distance","def.diff","diff.prob","rpi.diff","top.diff","stlrate.diff","result"
"2002-1104-1194",-13,-6.0493,0.823560648694222,117,0,-0.0229,1
"2002-1112-1364",-11,-0.744200000000006,0.578665844300566,90,0,-0.0033,1
"2002-1231-1428",-7,-5.7235,0.385924933946438,33,0,0.0123,1
"2002-1242-1221",-15,-6.11,0.879632978916323,144,0,-0.0058,1
"2002-1245-1329",3,4.3022,0.231282638628675,10,0,-0.015,1
"2002-1246-1434",-9,-5.6741,0.359505747264507,74,0,-0.036,1
"2002-1281-1274",7,5.57499999999999,-0.121836891609605,-32,0,-0.0212,1
"2002-1326-1172",-9,0.942100000000011,0.656111714410127,35,0,0.000599999999999989,1
"2002-1332-1285",-13,-8.9374,0.878737581599053,51,0,0.0235,1
"2002-1409-1266",7,7.54600000000001,-0.381633833450293,4,0,-0.0165,1
"2002-1448-1337",-3,3.55590000000001,0.158998833023874,9,0,-0.00539999999999999,1
"2002-1461-1211",5,0.318600000000004,-0.457733417158355,-1,0,0.0156,1
"2002-1153-1131",-15,-13.0654,0.930693035605846,74,0,-0.0223,1
"2002-1208-1293",-11,-7.2873,0.747043952079839,14,0,0.0208,1
"2002-1268-1373",-15,-8.1461,0.893030775276483,157,0,0.034,1
"2002-1338-1148",-11,-4.7384,0.736163577777135,96,0,0.000199999999999992,1
"2002-1400-1130",-5,1.75059999999999,0.237731231814689,-5,0,-0.027,1
"2002-1417-1279",-1,1.8874,-0.195322835864624,27,0,-0.0291,1
"2002-1458-1385",-1,3.7222,0.220472354738107,5,0,-0.0481,1
"2002-1245-1104",8,2.324,-0.0296065762664815,-17,0,-0.0079,1
"2002-1332-1448",-5,-4.47190000000001,0.297458344319952,9,0,0.0111,1
"2002-1163-1301",-5,-1.9798,0.0323655768239195,50,0,-0.0101,1
"2002-1328-1462",-5,-3.4149,0.27985821632989,36,0,0.0307,1
"2002-1338-1143",-3,-1.4366,0.183846369192989,26,0,-0.0152,1
"2002-1356-1208",8,-2.26469999999999,-0.327996129708003,-22,0,-0.0223,1
"2002-1231-1181",4,2.172,-0.532521275113954,-18,0,-0.0252,1
"2002-1245-1338",7,4.54629999999999,-0.102781016563345,7,0,-0.00169999999999999,1
"2002-1281-1417",4,2.3468,-0.0530380284258197,-11,0,0.0245,1
"2002-1328-1112",-1,-8.3321,0.165306447645127,19,0,0.0458,1
"2002-1242-1228",-3,-2.2578,0.291336535873929,33,0,0.011,1
"2002-1268-1246",-3,0.428100000000001,0.291480240057407,38,0,0.0063,1
"2002-1332-1400",-4,-3.57259999999999,0.346734722074495,8,0,0.0121,1
"2002-1231-1245",-5,-6.2786,0.177315686019479,18,0,0.0071,1
"2002-1268-1163",-1,-0.0524000000000058,0.394122980156438,25,0,0.0083,1
"2002-1231-1328",3,1.3283,-0.128845050911866,-17,0,-0.0248,1
"2002-1108-1373",0,6.7615,-0.29547231030732,32,0,0.0302,0
"2002-1457-1181",15,12.225,-0.964296548808413,-141,0,-0.0189,0
"2002-1150-1323",1,0.0559000000000083,-0.104322542003831,-53,0,-0.0112,0
"2002-1443-1390",1,-1.97720000000001,-0.215104868066992,-66,0,0.0294,0
